origintime,longitude,latitude,depth,magnitude
2019-08-1506:01:14.431,169.8088226,-45.035923,5,3.120812282
2019-07-2503:47:46.813,175.9061584,-38.41538239,144.4591522,3.121176896
2019-10-3115:34:15.132,178.182724,-35.31736374,12,3.121189772
2020-01-1418:39:02.409,177.2569122,-37.14068604,159.3610077,3.121572379
2020-05-0502:17:11.546,176.2178192,-40.37856674,20.30252457,3.122674301
2020-02-2918:37:23.510,177.5423584,-36.66662979,211.2572327,3.123202377
2020-04-2206:40:41.390,178.0775452,-35.04083252,178.0368347,3.123266335
2020-05-1917:00:12.607,173.5427094,-42.22829056,5,3.123348307
2019-10-2609:59:51.923,173.7143555,-42.03070068,5,3.125090576
2019-11-2502:03:43.745,173.7756195,-40.07366562,147.2098083,3.125409099
2020-05-2316:02:51.315,166.7955475,-45.96355438,5,3.125961126
2020-02-1223:16:33.473,178.3716736,-35.22273254,216.7914734,3.127053823
2020-05-2422:30:03.736,174.945755,-40.45506668,25.96983337,3.127134195
2020-03-1404:52:07.304,175.2941437,-38.68762207,190.708786,3.127283913
2019-08-2822:34:49.360,165.5753632,-46.96699524,12,3.127691017
2019-06-2203:18:27.658,177.163269,-37.53856277,2.484523296,3.127828687
2020-01-1516:59:32.462,177.0988159,-37.62776947,5,3.128135171
2020-02-1604:11:52.202,177.7703552,-39.13453674,22.47260857,3.129184208
2019-06-2421:28:49.408,176.9639282,-37.88148499,2.324301243,3.129522641
2019-06-2213:26:51.453,177.1312103,-37.55182648,4.186984062,3.13014043
2019-09-0822:33:13.581,178.9490662,-37.8237114,23.820467,3.130175395
2019-09-2011:22:38.321,178.0448608,-37.99464417,47.63741302,3.130815013
2019-09-2117:39:37.467,165.9610291,-47.51226425,5,3.130943777
2019-08-1621:21:24.718,173.8434753,-42.27452087,16.06459236,3.130960949
2019-07-1905:58:10.503,178.9707642,-37.18772125,12,3.131174402
2020-02-2213:55:28.170,167.5364227,-44.70799255,5,3.131215898
2019-12-2100:52:35.162,167.5393524,-45.09019852,45.62701797,3.132072756
2020-01-0814:27:45.802,166.8713379,-45.96668243,71.70532227,3.132318541
2020-05-2205:29:30.726,173.8771362,-39.70281219,230.9243469,3.132406081
2019-06-2223:10:47.342,179.8608856,-36.63021851,33,3.132965971
2019-07-1308:08:14.135,177.5967865,-36.61453629,216.0092163,3.13431435
2019-06-2911:46:02.469,176.6682587,-39.79280853,31.88017845,3.135273606
2020-04-3009:53:57.107,178.5777435,-35.63961792,206.1663208,3.135438351
2019-11-2415:35:27.449,178.0004425,-35.37190628,12,3.135553623
2019-08-2620:05:15.029,177.5159607,-37.75520706,27.15190125,3.135588136
2019-06-2209:12:37.603,177.1586914,-37.53105164,5,3.13573941
2019-09-0416:25:45.669,169.5252991,-44.3706131,2.841707468,3.136590798
2020-05-1415:39:35.338,178.5491638,-36.22557068,313.324707,3.137188925
2020-01-0409:25:39.811,170.9038239,-43.21974564,5,3.137330833
2019-07-1002:02:10.363,174.4701538,-41.59375763,5,3.137500704
2019-08-1210:48:08.877,167.9208069,-44.58551788,5.210684299,3.137812226
2019-07-1204:53:36.524,174.9202881,-40.30569839,29.47299194,3.137926113
2020-03-2519:02:53.692,174.0972137,-41.87129974,8.797094345,3.138385209
2019-07-0912:10:49.064,177.776886,-39.29833603,25.02995491,3.138414862
2020-02-1705:31:25.174,177.1959076,-36.94560623,5,3.138793249
2020-05-1713:03:42.888,166.0676727,-46.22429276,12,3.138969082
2020-02-2416:58:02.606,179.0197754,-35.90159225,211.091629,3.139061397
2020-02-1023:19:34.357,174.7782745,-40.21582413,24.48036194,3.14033468
2019-11-0711:03:05.571,172.0217896,-41.62220764,5,3.140852223
2019-06-2123:16:15.340,177.1204376,-37.54551315,5,3.141088133
2019-12-2916:04:10.416,175.0527191,-40.28528595,5,3.14127952
2020-05-2102:07:37.169,172.5653381,-42.46333313,4.781589985,3.141305435
2019-06-2202:39:24.291,177.1160889,-37.56990051,3.331919193,3.141415852
2020-01-2322:43:53.126,179.2843018,-37.48287201,18.45582581,3.141883838
